Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,5000.0,0.21875,4.581589665677812E-10,5000.0,0.9974384860546263,0.9943527933962103,0.9982,0.9951491580016255,0.32661183337755373,0.9974373578272765,0.9959382615759546,0.992688870836718,5000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,10000.0,0.484375,1.0144948545429441E-9,10000.0,0.9975746654822719,0.9947302331598804,0.9986,0.9951493309645439,0.21197430614470975,0.9975734190689268,0.9959977129788451,0.9919954259576904,10000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,15000.0,0.78125,1.6362820234563615E-9,15000.0,0.996144291782285,0.9912011151209988,0.9977333333333334,0.991826916527978,0.1995201919232307,0.9959097245011281,0.9931863727454909,0.9863727454909821,15000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,20000.0,1.078125,2.258069192369779E-9,20000.0,0.9954737143264993,0.9889404909574997,0.99675,0.989893854060847,0.252112940587241,0.9948961506108269,0.991805314129625,0.9838589520735039,20000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,25000.0,1.296875,2.7162281589375604E-9,25000.0,0.9959807823949932,0.9898704217057859,0.9968,0.9907788721535254,0.28773050376017306,0.9953861692620005,0.9928392409595417,0.9856784819190835,25000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,30000.0,1.53125,3.2071127659744687E-9,30000.0,0.9962558189059025,0.9904841379869906,0.9972,0.9912587373776167,0.2504168056018673,0.995625921290365,0.9930093209054593,0.9860186418109187,30000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,35000.0,1.765625,3.6979973730113774E-9,35000.0,0.9952216879217427,0.9882467351793517,0.9966,0.9891756570220256,0.24245651402200924,0.9945547744132105,0.9912152269399708,0.9825768667642755,35000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,40000.0,1.984375,4.156156339579158E-9,40000.0,0.9946801880881199,0.9870010358401545,0.996475,0.9878175566616888,0.21278272997392517,0.9939287855111748,0.9900256483328583,0.9799088059276148,40000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,45000.0,2.203125,4.614315306146939E-9,45000.0,0.9941708080735747,0.9855367199463577,0.9960888888888889,0.9865450116452925,0.214312699012359,0.993262968011251,0.9889196675900277,0.9778393351800555,45000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,50000.0,2.421875,5.07247427271472E-9,50000.0,0.9946126900823145,0.9866779167350761,0.99624,0.9876625238051604,0.2308601250553887,0.9938237863225083,0.9899765408402644,0.979953081680529,50000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,55000.0,2.65625,5.563358879751629E-9,55000.0,0.9935263913789583,0.9842356031321883,0.9954545454545455,0.9853995702580655,0.2389340661816052,0.992689655961486,0.9882153294993872,0.9764306589987746,55000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,60000.0,2.90625,6.0869691272576644E-9,60000.0,0.9935574138896921,0.9843406372568103,0.9955166666666667,0.9855220254395776,0.23688387721866044,0.9927344833833713,0.9882516752240884,0.9765903750761468,60000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,65000.0,3.140625,6.577853734294573E-9,65000.0,0.9930795166123562,0.9834382368587694,0.9953846153846154,0.9846846156143886,0.22678544466253964,0.992298640401159,0.9874334221038615,0.9750332889480694,65000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,70000.0,3.34375,7.003287060393227E-9,70000.0,0.9932551175944719,0.9838950119528046,0.9954285714285714,0.9851103126087875,0.23363234231535168,0.9925156901056728,0.9878554725805235,0.975861808855699,70000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,75000.0,3.578125,7.494171667430135E-9,75000.0,0.9935858266852637,0.9844857334430479,0.9954533333333333,0.9856697604332464,0.24648905582608985,0.9928128209939735,0.9884700964196615,0.97700761917605,75000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,80000.0,3.765625,7.886879353059662E-9,80000.0,0.9937143307176625,0.9848449086809065,0.9955375,0.9860116803840197,0.24873175680949036,0.9929852202773511,0.9887668653906495,0.9775964857232505,80000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,85000.0,4.0,8.37776396009657E-9,85000.0,0.9938132352689417,0.985141167527426,0.9957294117647059,0.9862523541311949,0.23809246365834474,0.9931055952227793,0.9888657775602594,0.9777927321668909,85000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,90000.0,4.21875,8.835922926664351E-9,90000.0,0.9938875876590955,0.9853645532620149,0.9957666666666667,0.9864523065506363,0.2403870007442322,0.9932066760185313,0.9890494209379659,0.9781561747506021,90000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,95000.0,4.453125,9.32680753370126E-9,95000.0,0.9940376619430217,0.9856946648275349,0.9959263157894737,0.9867401171963731,0.2338623788866665,0.9933509613009267,0.989225813617683,0.9785071642785736,95000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,100000.0,4.671875,9.784966500269041E-9,100000.0,0.9941099935978444,0.9859108471932618,0.99613,0.9868933693365816,0.21960143425128667,0.9934270700262733,0.989225813617683,0.9785071642785735,100000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,105000.0,4.890625,1.0243125466836822E-8,105000.0,0.994140418831791,0.9860305888376867,0.9962952380952381,0.98696254581777,0.20699366615704712,0.9934611029850996,0.9891708779918921,0.9783972899428002,105000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,110000.0,5.109375,1.0701284433404603E-8,110000.0,0.9942289817718549,0.9862728792373578,0.9964272727272727,0.9871696038697257,0.20074227704399084,0.9935648298026051,0.9892876563349646,0.9786296900489396,110000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,115000.0,5.328125,1.1159443399972384E-8,115000.0,0.9943934743401629,0.9866818818376607,0.9964782608695653,0.9876066700494671,0.20700693766596345,0.9937650266750105,0.9896567459311464,0.9794655985397761,115000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,120000.0,5.5625,1.1650328007009292E-8,120000.0,0.9943887317214011,0.9867079809466831,0.9965666666666667,0.9875848000345216,0.19868145040455498,0.9937637164348028,0.9895927601809955,0.9792860734037208,120000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,125000.0,5.8125,1.2173938254515329E-8,125000.0,0.9946307938104472,0.9872212731177552,0.996616,0.9880773057618015,0.206621941213379,0.994021713490789,0.9900957720158842,0.9802382620882968,125000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,130000.0,6.078125,1.2730274142490491E-8,130000.0,0.9946080429134304,0.9872126208738695,0.996576923076923,0.9880787989862085,0.2103156130714086,0.994023104288527,0.9901283753873396,0.9803010181496234,130000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,135000.0,6.359375,1.3319335670934782E-8,135000.0,0.9946436572923236,0.9872365855644067,0.9965111111111111,0.9881379710172268,0.21827960870663826,0.994037604463846,0.9902017529353399,0.9805275343145362,135000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,140000.0,6.609375,1.3842945918440818E-8,140000.0,0.9944380396008423,0.9867399622715892,0.9963428571428572,0.9876972023130491,0.2219390426980414,0.9938104707756689,0.989853704577631,0.9798647160610354,140000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,145000.0,6.875,1.4399281806415981E-8,145000.0,0.994395385621933,0.986679483247173,0.9962344827586207,0.9876502869448731,0.2310461345151376,0.9938036177417667,0.9899316528257515,0.9799367972367165,145000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,150000.0,7.140625,1.4955617694391144E-8,150000.0,0.9943665108726367,0.9865485930927796,0.99614,0.9875250858816467,0.23657287948360717,0.993748472448949,0.9898944140502491,0.979823674948601,150000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,155000.0,7.40625,1.5511953582366308E-8,155000.0,0.9944026912654523,0.9866530117241914,0.9960967741935484,0.9876716145761278,0.24563024872423353,0.9938103986617437,0.9900539833142483,0.980206118108948,155000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,160000.0,7.671875,1.6068289470341472E-8,160000.0,0.994286915264251,0.9863980474241772,0.996,0.9874416009825585,0.24807912821672895,0.9937018520566203,0.9899066125837185,0.9798761123164481,160000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,165000.0,7.9375,1.6624625358316636E-8,165000.0,0.9944916204212092,0.9868597611825856,0.9960484848484848,0.9879007980861215,0.258734857038235,0.9939331521559887,0.9903585328458545,0.980776034909777,165000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,170000.0,8.1875,1.714823560582267E-8,170000.0,0.9945164348074337,0.9868911762830781,0.9960588235294118,0.9879340597530786,0.2587930396149574,0.9939501417518909,0.9903862660944206,0.9808297567954221,170000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,175000.0,8.46875,1.7737297134266962E-8,175000.0,0.9944787792417159,0.9867437131083101,0.9960514285714286,0.9877668611268611,0.2536445237225362,0.993871521780491,0.9902279210325642,0.9804840850679245,175000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,180000.0,8.71875,1.8260907381772997E-8,180000.0,0.9944488850868496,0.9866743045017288,0.9960444444444444,0.987684738434277,0.2515557533322672,0.993835547404564,0.9901600375908677,0.980320075181735,180000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,185000.0,8.984375,1.881724326974816E-8,185000.0,0.9945183197146641,0.986853497951378,0.9960972972972973,0.9878639463762589,0.2520726878955027,0.993915383646965,0.9902805745737683,0.9806148476305547,185000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,190000.0,9.21875,1.930812787678507E-8,190000.0,0.9946315920307466,0.987123545739978,0.9961526315789474,0.9881172973712569,0.25497034306926114,0.9940475945355342,0.9905186259779286,0.9810631573493603,190000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,195000.0,9.484375,1.9864463764760234E-8,195000.0,0.9946662226009452,0.9871953432156584,0.9961794871794872,0.9881822655454369,0.2543177476312692,0.9940802389423854,0.9905657991248704,0.9811568910134814,195000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,200000.0,9.78125,2.048625093367365E-8,200000.0,0.9946916102204956,0.9872755407758488,0.996185,0.9882675805564726,0.2568182389462836,0.9941232187791117,0.9906528335127728,0.9813301360477634,200000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,205000.0,10.0,2.0944409900241433E-8,205000.0,0.9947469620762321,0.9873941011017692,0.9961853658536586,0.9883978773524138,0.2617015121954222,0.9941845120749766,0.9907810258460525,0.9816090872745233,205000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,210000.0,10.25,2.1468020147747468E-8,210000.0,0.9948028519400716,0.9875437204608148,0.9962619047619048,0.9885181251430549,0.2573495072387407,0.9942489855159056,0.9908566376622773,0.9817365408775768,210000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,215000.0,10.515625,2.2024356035722632E-8,215000.0,0.9948256031269467,0.9876180096161813,0.9963023255813953,0.9885904963454429,0.25538648386682394,0.9942767947461837,0.9908774978279756,0.981823585897846,215000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,220000.0,10.796875,2.2613417564166922E-8,220000.0,0.9948325155050171,0.9875543421807015,0.9962727272727273,0.9885175662474348,0.2560734003619775,0.9942447227311351,0.9908363247196272,0.9817172415330764,220000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,225000.0,11.0625,2.3169753452142087E-8,225000.0,0.994906217713506,0.9876933144387313,0.9963066666666667,0.9886590699403648,0.2574890458732004,0.9943118785191463,0.9909489494703941,0.9819630144122243,225000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,230000.0,11.3125,2.369336369964812E-8,230000.0,0.994948542226154,0.9877873788969094,0.9963434782608696,0.988744961797911,0.2564392511622063,0.9943550905637503,0.9910103742837058,0.9820846558592334,230000.0,8096.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,232873.0,11.46875,2.4020620104339393E-8,232873.0,0.9949192169132507,0.9877359874923552,0.9963585301859812,0.9886891423280088,0.25255757914779636,0.9943230153445586,0.9909274837610478,0.9819401554680013,232873.0,8096.0
