Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_gyro_allfeatures.csv.arff,1,5000.0,0.046875,3.560368592540423E-11,5000.0,0.784680014975303,0.2256984052951191,0.7982,0.33410592005575296,0.32661183337755373,0.5508045686937856,0.31762794476035744,0.1803411860276198,5000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_gyro_allfeatures.csv.arff,1,10000.0,0.109375,8.307526715927655E-11,10000.0,0.8408478858601542,0.24972334362279475,0.8538,0.35068528461880033,0.21197430614470975,0.5423151896801185,0.30303030303030304,0.16409376786735305,10000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_gyro_allfeatures.csv.arff,1,15000.0,0.171875,1.3054684839314886E-10,15000.0,0.8339382002709939,0.23002329483098438,0.8526666666666667,0.28715916692883053,0.1995201919232307,0.4826353212465767,0.23887775551102206,0.11422845691382776,15000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_gyro_allfeatures.csv.arff,1,20000.0,0.234375,1.7801842962702117E-10,20000.0,0.8267835135436442,0.2352397428989832,0.82675,0.3040905696901379,0.252112940587241,0.5089650058860539,0.2676930717655823,0.1395579836106283,20000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_gyro_allfeatures.csv.arff,1,25000.0,0.296875,2.2549001086089348E-10,25000.0,0.8285207529412355,0.24800075113471015,0.81344,0.3346392208426695,0.28773050376017306,0.5473675758292142,0.3129251700680272,0.16505549588256369,25000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_gyro_allfeatures.csv.arff,1,30000.0,0.359375,2.729615920947658E-10,30000.0,0.8360306048531934,0.2509893896842599,0.8297333333333333,0.32631685272115246,0.2504168056018673,0.5318711035590685,0.29344207723035953,0.14980026631158466,30000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_gyro_allfeatures.csv.arff,1,35000.0,0.40625,3.0856527802017E-10,35000.0,0.8206771530931996,0.23708712596336876,0.829,0.29759602974685384,0.24245651402200924,0.5057639320927012,0.26486090775988286,0.123718887262079,35000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_gyro_allfeatures.csv.arff,1,40000.0,0.46875,3.5603685925404234E-10,40000.0,0.8337779180882259,0.24213753190897622,0.8456,0.2999715046690861,0.21278272997392517,0.5004690636472227,0.2580507267027643,0.11997720148190376,40000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_gyro_allfeatures.csv.arff,1,45000.0,0.515625,3.9164054517944655E-10,45000.0,0.8234046301387472,0.23063035250277797,0.8425333333333334,0.2783863096646458,0.214312699012359,0.47964478111857906,0.2365902795265676,0.10778141526063992,45000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_gyro_allfeatures.csv.arff,1,50000.0,0.578125,4.3911212641331883E-10,50000.0,0.8244671635656079,0.24284835462984744,0.83622,0.30583520033628314,0.2308601250553887,0.5107586885142259,0.26978033695883985,0.12678609511622904,50000.0,2936.0
