Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_raw_acc_allfeatures.csv.arff,1,5000.0,0.078125,5.933947654234038E-11,5000.0,0.7068179226875194,0.16764900501994534,0.7792,0.26773066815596813,0.32661183337755373,0.5077530519423453,0.272948822095857,0.1031681559707554,5000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_raw_acc_allfeatures.csv.arff,1,10000.0,0.15625,1.1867895308468076E-10,10000.0,0.7404345326335342,0.17771531590543738,0.8371,0.23847189498485374,0.21197430614470975,0.44704003450465124,0.2058319039451115,0.06861063464837054,10000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_raw_acc_allfeatures.csv.arff,1,15000.0,0.234375,1.7801842962702114E-10,15000.0,0.7414445043625836,0.16393635695445283,0.8422,0.1895941191535162,0.1995201919232307,0.38778437701675356,0.1535070140280561,0.05130260521042053,15000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_raw_acc_allfeatures.csv.arff,1,20000.0,0.3125,2.373579061693615E-10,20000.0,0.7522972828915993,0.17818182690678908,0.81505,0.22627892287149248,0.252112940587241,0.43777342428429367,0.19741743233176062,0.0814502110752425,20000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_raw_acc_allfeatures.csv.arff,1,25000.0,0.375,2.848294874032338E-10,25000.0,0.7596303153946619,0.18565944701840603,0.79684,0.2389856363880504,0.28773050376017306,0.4616488954492663,0.22144647332617257,0.09076262083780866,25000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_raw_acc_allfeatures.csv.arff,1,30000.0,0.4375,3.323010686371061E-10,30000.0,0.7711666621896602,0.1907336828090317,0.8172,0.23931917568165018,0.2504168056018673,0.45154964558438865,0.2103861517976032,0.0872170439414118,30000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_raw_acc_allfeatures.csv.arff,1,35000.0,0.5,3.7977264987097837E-10,35000.0,0.7682650930789897,0.18134691588049084,0.8198285714285715,0.217064787915405,0.24245651402200924,0.4248250800364127,0.18535871156661787,0.07672035139092272,35000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_raw_acc_allfeatures.csv.arff,1,40000.0,0.5625,4.2724423110485066E-10,40000.0,0.7864431057751666,0.1872889850292308,0.83765,0.21960179550711778,0.21278272997392517,0.4199225468580058,0.18039327443716158,0.07466514676546025,40000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_raw_acc_allfeatures.csv.arff,1,45000.0,0.625,4.747158123387229E-10,45000.0,0.7722348235512148,0.17799003638137628,0.8348666666666666,0.2008651089554985,0.214312699012359,0.4008452178352956,0.16419038025686225,0.06434147569881646,45000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_raw_acc_allfeatures.csv.arff,1,50000.0,0.6875,5.221873935725952E-10,50000.0,0.7799224878895596,0.19594484117259645,0.82986,0.23888543152027,0.2308601250553887,0.44158177895852424,0.1999360204734485,0.09287694604393258,50000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_raw_acc_allfeatures.csv.arff,1,55000.0,0.75,5.696589748064675E-10,55000.0,0.7875631016503941,0.20892305426060573,0.8282,0.2641287673146491,0.2389340661816052,0.4686957481607907,0.22598284151975112,0.10917318751767746,55000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_raw_acc_allfeatures.csv.arff,1,60000.0,0.8125,6.171305560403398E-10,60000.0,0.7856255920355371,0.20458423786587088,0.8284333333333334,0.25380764510819087,0.23688387721866044,0.4571528244644914,0.21460273257331824,0.10416847967974949,60000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_raw_acc_allfeatures.csv.arff,1,65000.0,0.875,6.646021372742121E-10,65000.0,0.7850433420420063,0.20267788821263036,0.8335538461538462,0.2471164560803179,0.22678544466253964,0.4475612414106859,0.20522636484687085,0.09961717709720373,65000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_raw_acc_allfeatures.csv.arff,1,70000.0,0.96875,7.358095091250205E-10,70000.0,0.7825019173917356,0.19857462811712634,0.8286428571428571,0.2360316978250663,0.23363234231535168,0.4374446572627317,0.19597193935279475,0.09519499132533739,70000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_raw_acc_allfeatures.csv.arff,1,75000.0,1.03125,7.832810903588928E-10,75000.0,0.7880361589887178,0.20673002151073838,0.82424,0.2553809139624501,0.24648905582608985,0.4584783929522776,0.21576427752680197,0.11118602926302983,75000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_raw_acc_allfeatures.csv.arff,1,80000.0,1.109375,8.426205669012331E-10,80000.0,0.7865344253075258,0.20690026349177687,0.8236875,0.261407767791001,0.24873175680949036,0.4651835206572774,0.2223407593347976,0.11484154377157192,80000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_raw_acc_allfeatures.csv.arff,1,85000.0,1.1875,9.019600434435735E-10,85000.0,0.7914609890636927,0.20664256429996208,0.8292235294117647,0.25864945183391946,0.23809246365834474,0.45971958282478564,0.21675027529670868,0.11195399486112821,85000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_raw_acc_allfeatures.csv.arff,1,90000.0,1.265625,9.612995199859138E-10,90000.0,0.792517138679837,0.20613278890512712,0.8274,0.2520865024406421,0.2403870007442322,0.4531611733164446,0.21046898291480334,0.10939112487100103,90000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_raw_acc_allfeatures.csv.arff,1,95000.0,1.34375,1.0206389965282543E-9,95000.0,0.7956213114704954,0.2093002642959711,0.8317473684210527,0.26033751678629774,0.2338623788866665,0.4604118600063539,0.21731645007219816,0.11229590136621131,95000.0,2936.0
