Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_watch_acc_allfeatures.csv.arff,1,5000.0,0.109375,1.2382062979870372E-10,5000.0,0.9974384860546263,0.9943527933962103,0.9982,0.9951491580016255,0.32661183337755373,0.9974373578272765,0.9959382615759546,0.992688870836718,5000.0,4376.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_watch_acc_allfeatures.csv.arff,1,10000.0,0.203125,2.2995259819759264E-10,10000.0,0.9975746654822719,0.9947302331598804,0.9986,0.9951493309645439,0.21197430614470975,0.9975734190689268,0.9959977129788451,0.9919954259576904,10000.0,4376.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_watch_acc_allfeatures.csv.arff,1,15000.0,0.296875,3.3608456659648155E-10,15000.0,0.996144291782285,0.9912011102497794,0.9977333333333334,0.991826916527978,0.1995201919232307,0.9959097245011281,0.9931863727454909,0.9863727454909821,15000.0,4376.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_watch_acc_allfeatures.csv.arff,1,20000.0,0.40625,4.599051963951853E-10,20000.0,0.9951296475578799,0.9876584801836886,0.99635,0.9886500207144895,0.252112940587241,0.9942730628361981,0.9908120188726098,0.9818723615594733,20000.0,4376.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_watch_acc_allfeatures.csv.arff,1,25000.0,0.484375,5.483485033942593E-10,25000.0,0.9957878487370614,0.9886970185393557,0.99636,0.9895116357590171,0.28773050376017306,0.9947832978529585,0.9919441460794844,0.9837092731829575,25000.0,4376.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_watch_acc_allfeatures.csv.arff,1,30000.0,0.59375,6.721691331929631E-10,30000.0,0.995901027706084,0.9892117735300526,0.9967666666666667,0.9899065525744993,0.2504168056018673,0.9949797093598413,0.9920106524633822,0.9838548601864182,30000.0,4376.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_watch_acc_allfeatures.csv.arff,1,35000.0,0.703125,7.959897629916668E-10,35000.0,0.9949136803271915,0.9864523671821094,0.9960285714285714,0.9873564397148027,0.24245651402200924,0.9936431892951871,0.9897510980966325,0.9796486090775985,35000.0,4376.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_watch_acc_allfeatures.csv.arff,1,40000.0,0.8125,9.198103927903706E-10,40000.0,0.9942868199877722,0.9851075456824984,0.995925,0.9859167498996826,0.21278272997392517,0.9929756999890074,0.9884582502137361,0.9767740096893699,40000.0,4376.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_watch_acc_allfeatures.csv.arff,1,45000.0,0.921875,1.0436310225890743E-9,45000.0,0.9937674930987802,0.9837303986940484,0.9955333333333334,0.984634551746165,0.214312699012359,0.992329367092964,0.9874087131704861,0.9746915134726771,45000.0,4376.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_watch_acc_allfeatures.csv.arff,1,50000.0,1.015625,1.1497629909879633E-9,50000.0,0.9943394582970152,0.9851413861223206,0.99574,0.9860224751564785,0.2308601250553887,0.9930219948894231,0.9886969503092343,0.9772872680742161,50000.0,4376.0
