Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,5000.0,0.3125,5.529727786779404E-10,5000.0,0.9588249215079018,0.8447057847583119,0.9332,0.8268488037533374,0.32661183337755373,0.9296820015529397,0.9228269699431356,0.7286758732737613,5000.0,6840.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,10000.0,0.578125,1.0229996405541896E-9,10000.0,0.9266794350134734,0.7572033816382099,0.8705,0.6398343738736134,0.21197430614470975,0.8975102730813249,0.9416809605488851,0.2595769010863356,10000.0,6840.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,15000.0,0.84375,1.493026502430439E-9,15000.0,0.9082826348418549,0.6992853380961489,0.8316666666666667,0.5535312232266084,0.1995201919232307,0.8737093977251054,0.9430861723446894,-0.012024048096192395,15000.0,6840.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,20000.0,1.109375,1.963053364306688E-9,20000.0,0.8855231880231962,0.6268624240289682,0.7926,0.5194394003410057,0.252112940587241,0.8433391121937096,0.9421405512788676,-0.030047181524708214,20000.0,6840.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,25000.0,1.390625,2.460728865116834E-9,25000.0,0.8788194049857015,0.6064368862025362,0.78468,0.5250814918870332,0.28773050376017306,0.8363813558414487,0.9484425349087003,0.03634085213032589,25000.0,6840.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,30000.0,1.640625,2.9031070880591865E-9,30000.0,0.8612304994918413,0.556409478100147,0.7503333333333333,0.45339455651621013,0.2504168056018673,0.81422047720166,0.9449067909454061,-0.24667110519307586,30000.0,6840.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,35000.0,1.890625,3.345485311001539E-9,35000.0,0.851043798606141,0.5374293269690604,0.7378285714285714,0.42619756513093576,0.24245651402200924,0.8012719026351519,0.9282576866764275,-0.34348462664714496,35000.0,6840.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,40000.0,2.171875,3.843160811811685E-9,40000.0,0.8478082421322621,0.5287333029103094,0.7272,0.39288429909221173,0.21278272997392517,0.7960857736700363,0.9250498717583358,-0.5548589341692793,40000.0,6840.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,45000.0,2.453125,4.340836312621831E-9,45000.0,0.8438096958929355,0.5121393739454002,0.7155777777777778,0.3800432123836468,0.214312699012359,0.7892183080001404,0.9302442709644926,-0.6115588013094937,45000.0,6840.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_3f.csv.arff,1,50000.0,2.75,4.866160452365875E-9,50000.0,0.8413909324736958,0.5119633508588577,0.71766,0.39186165757960273,0.2308601250553887,0.7879334234825905,0.9278097675410535,-0.5053316272126259,50000.0,6840.0
