Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_gyro_allfeatures.csv.arff,1,5000.0,0.0625,3.608874976634979E-11,5000.0,0.8196611848464934,0.49964069275414863,0.6424,0.33060313256768503,0.32661183337755373,0.7135184475836298,0.9260763606823721,-0.452477660438668,5000.0,2232.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_gyro_allfeatures.csv.arff,1,10000.0,0.125,7.217749953269958E-11,10000.0,0.8276251353076803,0.5184722737065883,0.6262,0.27493471017891186,0.21197430614470975,0.7225984610694164,0.9291023441966838,-1.1372212692967405,10000.0,2232.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_gyro_allfeatures.csv.arff,1,15000.0,0.1875,1.0826624929904937E-10,15000.0,0.8228391849672957,0.47563732060617786,0.5799333333333333,0.22788107824612225,0.1995201919232307,0.6907842516720244,0.9386773547094188,-1.5254509018036073,15000.0,2232.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_gyro_allfeatures.csv.arff,1,20000.0,0.265625,1.533771865069866E-10,20000.0,0.7950058696486377,0.43178227131394564,0.55435,0.22683185116892216,0.252112940587241,0.6575884721145565,0.9525701514775267,-1.2133101564440025,20000.0,2232.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_gyro_allfeatures.csv.arff,1,25000.0,0.359375,2.075103111565113E-10,25000.0,0.7887095339564529,0.41377861843007185,0.5496,0.23160121379384077,0.28773050376017306,0.6435709403434315,0.9595417114214106,-1.0157536698890086,25000.0,2232.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_gyro_allfeatures.csv.arff,1,30000.0,0.4375,2.5262124836444854E-10,30000.0,0.7908508513323793,0.4148725038279486,0.5385,0.2133472190791044,0.2504168056018673,0.6442534846435258,0.9570572569906791,-1.3044274300932088,30000.0,2232.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_gyro_allfeatures.csv.arff,1,35000.0,0.5,2.8870999813079834E-10,35000.0,0.7709064839026388,0.4267241768310204,0.5591428571428572,0.21004618227555738,0.24245651402200924,0.6539959155678272,0.8956076134699854,-1.2591508052708633,35000.0,2232.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_gyro_allfeatures.csv.arff,1,40000.0,0.578125,3.338209353387356E-10,40000.0,0.7819936270496792,0.4292750016019946,0.55385,0.19557790884748263,0.21278272997392517,0.6559150091676996,0.8932744371615845,-1.5428897121687093,40000.0,2232.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_gyro_allfeatures.csv.arff,1,45000.0,0.65625,3.7893187254667286E-10,45000.0,0.7750091826897797,0.41760670727475974,0.5409333333333334,0.1883454732470895,0.214312699012359,0.646869963685961,0.9031730042810375,-1.6011080332409966,45000.0,2232.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_gyro_allfeatures.csv.arff,1,50000.0,0.75,4.3306499719619753E-10,50000.0,0.7624633447019764,0.41519989899220855,0.5442,0.19482384975877423,0.2308601250553887,0.6448211416547143,0.8997654084026445,-1.4301556835146092,50000.0,2232.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_gyro_allfeatures.csv.arff,1,55000.0,0.859375,4.962203092873097E-10,55000.0,0.7470390578017974,0.40484412821355004,0.5431636363636364,0.18660475425680575,0.2389340661816052,0.636507879860198,0.8720656170453475,-1.3688130479871774,55000.0,2232.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_gyro_allfeatures.csv.arff,1,60000.0,0.984375,5.683978088200093E-10,60000.0,0.7411704155682436,0.39158196599036715,0.5284333333333333,0.17604194314408486,0.23688387721866044,0.6259350181763998,0.8802541119136715,-1.4622748237751284,60000.0,2232.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_gyro_allfeatures.csv.arff,1,65000.0,1.0625,6.135087460279465E-10,65000.0,0.738572464681949,0.37250210828128605,0.5070307692307693,0.15738755350363204,0.22678544466253964,0.6104411419263795,0.883988015978695,-1.6666944074567247,65000.0,2232.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_gyro_allfeatures.csv.arff,1,70000.0,1.140625,6.586196832358838E-10,70000.0,0.729586801520991,0.36389590313563785,0.5006857142857143,0.15517621922077957,0.23363234231535168,0.6036462376918714,0.8886625933469111,-1.6364939277362904,70000.0,2232.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_gyro_allfeatures.csv.arff,1,75000.0,1.203125,6.947084330022335E-10,75000.0,0.718090219437309,0.364879381588515,0.5042133333333333,0.16237123066821016,0.24648905582608985,0.6042049351442146,0.8950171937158654,-1.5071809048614395,75000.0,2232.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_gyro_allfeatures.csv.arff,1,80000.0,1.28125,7.398193702101708E-10,80000.0,0.7144931801325191,0.35813081085675674,0.4980375,0.15925109889128644,0.24873175680949036,0.5985361550842433,0.8999686225290242,-1.5200502039535617,80000.0,2232.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_gyro_allfeatures.csv.arff,1,85000.0,1.359375,7.849303074181081E-10,85000.0,0.7156265705612046,0.35497060458963375,0.49210588235294117,0.15212435673516583,0.23809246365834474,0.5959009684230666,0.897834332558424,-1.6410742689342954,85000.0,2232.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_gyro_allfeatures.csv.arff,1,90000.0,1.4375,8.300412446260453E-10,90000.0,0.7143708225160774,0.35037746976464307,0.4877444444444444,0.1508125208078838,0.2403870007442322,0.5918966614892778,0.9032794404311432,-1.6432175209264996,90000.0,2232.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_gyro_allfeatures.csv.arff,1,95000.0,1.515625,8.751521818339826E-10,95000.0,0.7133365343051741,0.33927552264835326,0.47514736842105265,0.1410336465723095,0.2338623788866665,0.5824241505208643,0.9061423969787848,-1.7691325113850944,95000.0,2232.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_gyro_allfeatures.csv.arff,1,100000.0,1.578125,9.112409316003323E-10,100000.0,0.7147094615828542,0.33130165321217725,0.46288,0.12994628436867525,0.21960143425128667,0.5755261357910776,0.9061423969787848,-1.9830056647784071,100000.0,2232.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_gyro_allfeatures.csv.arff,1,105000.0,1.65625,9.563518688082695E-10,105000.0,0.7222363551915861,0.3395606576358166,0.4656666666666667,0.1298485784313394,0.20699366615704712,0.5825227443693838,0.9060920753040484,-2.115732770589214,105000.0,2232.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_gyro_allfeatures.csv.arff,1,110000.0,1.71875,9.924406185746193E-10,110000.0,0.7177728619899034,0.3343262916544992,0.4582818181818182,0.1241782808778862,0.20074227704399084,0.5780193288191675,0.9077759651984775,-2.2402936378466554,110000.0,2232.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_gyro_allfeatures.csv.arff,1,115000.0,1.796875,1.0375515557825565E-9,115000.0,0.7148511619496363,0.3287678154120856,0.45456521739130434,0.1245672574253181,0.20700693766596345,0.5731224632778713,0.913552704963748,-2.180297115043351,115000.0,2232.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_gyro_allfeatures.csv.arff,1,120000.0,1.875,1.0826624929904937E-9,120000.0,0.7148320145979191,0.32471345922808137,0.44755833333333334,0.11867549075997522,0.19868145040455498,0.5695498577998968,0.9141277023629965,-2.332981397687281,120000.0,2232.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_gyro_allfeatures.csv.arff,1,125000.0,1.953125,1.1277734301984308E-9,125000.0,0.7169473178544568,0.3246302257383576,0.449824,0.12306519672964002,0.206621941213379,0.5694975633865748,0.9191777622050923,-2.2128941836019633,125000.0,2232.0
