Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_watch_acc_allfeatures.csv.arff,1,5000.0,0.15625,1.4196201745006774E-10,5000.0,0.9778737095709386,0.8767128757757027,0.9472,0.8605696153728337,0.32661183337755373,0.9388545619585024,0.9228269699431356,0.7855402112103982,5000.0,3512.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_watch_acc_allfeatures.csv.arff,1,10000.0,0.3125,2.839240349001355E-10,10000.0,0.9553570407703583,0.8073061251243043,0.8889,0.6806123962637114,0.21197430614470975,0.9095601248778253,0.9428244711263579,0.36477987421383684,10000.0,3512.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_watch_acc_allfeatures.csv.arff,1,15000.0,0.4375,3.9749364886018964E-10,15000.0,0.9466653899562419,0.7726112541561776,0.8594666666666667,0.60816984461741,0.1995201919232307,0.8918192096369567,0.9438877755511023,0.15511022044088205,15000.0,3512.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_watch_acc_allfeatures.csv.arff,1,20000.0,0.5625,5.110632628202438E-10,20000.0,0.9374072954094639,0.7270947229406537,0.82705,0.5771716295194197,0.252112940587241,0.8644363740513844,0.9339458654084927,0.14104792649615086,20000.0,3512.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_watch_acc_allfeatures.csv.arff,1,25000.0,0.671875,6.104366750352912E-10,25000.0,0.930737374680723,0.7031745928856404,0.81284,0.5696350471351811,0.28773050376017306,0.8532103569054815,0.9366272824919442,0.16237021124239162,25000.0,3512.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_watch_acc_allfeatures.csv.arff,1,30000.0,0.765625,6.956138855053319E-10,30000.0,0.9166076989877673,0.6580740425356622,0.7759,0.4896543635404645,0.2504168056018673,0.8296636903532754,0.9352529960053262,-0.11900798934753624,30000.0,3512.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_watch_acc_allfeatures.csv.arff,1,35000.0,0.875,7.949872977203793E-10,35000.0,0.9060786086981831,0.6268347097075545,0.749,0.4429381111714901,0.24245651402200924,0.8098794618635247,0.930307467057101,-0.2862371888726206,35000.0,3512.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_watch_acc_allfeatures.csv.arff,1,40000.0,1.0,9.085569116804334E-10,40000.0,0.9057481723711608,0.6192294230424606,0.73515,0.4051201578667574,0.21278272997392517,0.8030799646497991,0.9296095753776005,-0.5095468794528358,40000.0,3512.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_watch_acc_allfeatures.csv.arff,1,45000.0,1.125,1.0221265256404876E-9,45000.0,0.9035849987426381,0.6198728617853274,0.7312222222222222,0.40184586689346824,0.214312699012359,0.8012577597528513,0.933266179803576,-0.5229161420297153,45000.0,3512.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_watch_acc_allfeatures.csv.arff,1,50000.0,1.25,1.1356961396005418E-9,50000.0,0.8924440783416508,0.6066545049216929,0.7284,0.4011473318607097,0.2308601250553887,0.7905685890958606,0.9106419279164001,-0.4480699509490298,50000.0,3512.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_watch_acc_allfeatures.csv.arff,1,55000.0,1.375,1.249265753560596E-9,55000.0,0.8902731705576055,0.6006225505614066,0.7222,0.3971023583329401,0.2389340661816052,0.7852468937329747,0.9105307815593476,-0.44046384463090404,55000.0,3512.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_watch_acc_allfeatures.csv.arff,1,60000.0,1.5,1.36283536752065E-9,60000.0,0.8845743270307875,0.5892294533531351,0.7081333333333333,0.37838829685200337,0.23688387721866044,0.7764423019825449,0.9144547907057697,-0.5239752850056568,60000.0,3512.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_watch_acc_allfeatures.csv.arff,1,65000.0,1.640625,1.490601183225711E-9,65000.0,0.8808436997310748,0.5706638176608396,0.6873538461538462,0.34755442775023415,0.22678544466253964,0.7633709284353225,0.9174434087882823,-0.6912450066577898,65000.0,3512.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_watch_acc_allfeatures.csv.arff,1,70000.0,1.734375,1.5757783936957518E-9,70000.0,0.8728382571952571,0.556445404173473,0.6746428571428571,0.33553406950248366,0.23363234231535168,0.7528381199302012,0.9171003997887909,-0.7179603228483069,70000.0,3512.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_watch_acc_allfeatures.csv.arff,1,75000.0,1.875,1.7035442094008127E-9,75000.0,0.8647592920064983,0.5537458390602774,0.6729866666666666,0.34002619095539705,0.24648905582608985,0.7500485965945668,0.9185489852336323,-0.6536983345694835,75000.0,3512.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_sleeping_watch_acc_allfeatures.csv.arff,1,80000.0,2.0,1.8171138233608669E-9,80000.0,0.8641562378145372,0.558816367550441,0.6766875,0.3456989444857871,0.24873175680949036,0.7526651465181338,0.9190461248823345,-0.6231565735801697,80000.0,3512.0
