Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.csv.arff,1,5000.0,0.40625,6.036781188514497E-10,5000.0,0.9163939553922703,0.8178248325592373,0.9838,0.8173114744633018,0.04865771812080537,0.9057978795833638,0.8275862068965517,0.6508620689655173,5000.0,5744.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.csv.arff,1,10000.0,0.640625,9.51953956650363E-10,10000.0,0.9163615579437856,0.8151615534012454,0.9713,0.8173431123715357,0.09397221310578711,0.9057574920116679,0.8335273573923166,0.665890570430734,10000.0,5744.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.csv.arff,1,15000.0,0.96875,1.4395401295688418E-9,15000.0,0.934163744109627,0.8547462905609995,0.9676,0.8591515498024471,0.15287064791330413,0.9281343085435682,0.8778280542986425,0.7556561085972853,15000.0,5744.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.csv.arff,1,20000.0,1.21875,1.8110343565543493E-9,20000.0,0.9275176608561639,0.8406362721589532,0.96975,0.8438544384750097,0.12189375666124418,0.9199929950904052,0.8610216290842154,0.7215830648872528,20000.0,5744.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.csv.arff,1,25000.0,1.46875,2.1825285835398568E-9,25000.0,0.9280856753618034,0.8431619049162585,0.97436,0.8460820135734438,0.10098207601180252,0.9208088773394103,0.8600087221979938,0.7204535542956826,25000.0,5744.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.csv.arff,1,30000.0,1.71875,2.5540228105253645E-9,30000.0,0.9321648021561295,0.851330810596107,0.9740666666666666,0.8543702114379805,0.10963160230803373,0.9253423930432463,0.8687584345479082,0.7375168690958162,30000.0,5744.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.csv.arff,1,35000.0,1.96875,2.925517037510872E-9,35000.0,0.9353084569821544,0.8580649012192589,0.9739428571428571,0.8613613042982555,0.11731843575418995,0.9290681183034804,0.8759183673469387,0.7518367346938772,35000.0,5744.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.csv.arff,1,40000.0,2.171875,3.227356096936597E-9,40000.0,0.9356223543075314,0.85831338439739,0.975025,0.8612962326626713,0.11114197616600462,0.9290447561654894,0.8752811797050737,0.7503124218945267,40000.0,5744.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.csv.arff,1,45000.0,2.390625,3.552413545548916E-9,45000.0,0.9347712006938672,0.8578026082548882,0.9765333333333334,0.8606296499016807,0.10229276895943562,0.9285822142794722,0.8735632183908046,0.7471264367816095,45000.0,5744.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.csv.arff,1,50000.0,2.625,3.900689383347829E-9,50000.0,0.9342971721228921,0.8570129646890353,0.97698,0.8596734678893196,0.0990701866221177,0.9281027470010358,0.8724206789438651,0.7446194808076321,50000.0,5744.0
