Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.csv.arff,1,5000.0,0.109375,8.307526715927654E-11,5000.0,0.5351047211293682,0.046111794730279015,0.9536,0.0,0.04865771812080537,0.0,0.0,0.0,5000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.csv.arff,1,10000.0,0.21875,1.6615053431855307E-10,10000.0,0.6241177699930427,0.06025718140689048,0.9141,0.0,0.09397221310578711,0.0,0.0,0.0,10000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.csv.arff,1,15000.0,0.28125,2.1362211555242538E-10,15000.0,0.7359685479421268,0.1306401809339039,0.8662666666666666,0.055319118476167925,0.15287064791330413,0.20349149233255057,0.04172951231774761,-0.00854700854700844,15000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.csv.arff,1,20000.0,0.328125,2.492258014778296E-10,20000.0,0.7853397501388234,0.14056431313381168,0.8905,0.054499715723897627,0.12189375666124418,0.19488915524123512,0.03819604233778187,-0.00782328578002777,20000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.csv.arff,1,25000.0,0.390625,2.966973827117019E-10,25000.0,0.8112002133552496,0.14904150213798634,0.9076,0.05422077765750811,0.10098207601180252,0.18983601382770848,0.03619712167466201,-0.007413868294810442,25000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.csv.arff,1,30000.0,0.453125,3.4416896394557416E-10,30000.0,0.8189771812222579,0.15545287520287338,0.9016,0.07793521457871795,0.10963160230803373,0.2273409875225879,0.05195681511470985,0.004048582995950971,30000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.csv.arff,1,35000.0,0.515625,3.9164054517944644E-10,35000.0,0.8112813155908812,0.1544199866031033,0.8963428571428571,0.091853464999562,0.11731843575418995,0.24727553357413504,0.06149659863945578,0.012789115646258004,35000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.csv.arff,1,40000.0,0.5625,4.2724423110485066E-10,40000.0,0.8213431516700674,0.15828753486691183,0.90175,0.0989911692995725,0.11114197616600462,0.2547339653157597,0.06523369157710572,0.01774556360909854,40000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.csv.arff,1,45000.0,0.625,4.747158123387229E-10,45000.0,0.8241642659302656,0.1593089130867511,0.9087111111111111,0.09629627543833658,0.10229276895943562,0.24940834849585872,0.0625,0.016283524904214763,45000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.csv.arff,1,50000.0,0.703125,5.340552888810633E-10,50000.0,0.8242237907644266,0.15680994675058446,0.91136,0.09301699294056966,0.0990701866221177,0.2437835403990972,0.05968493454626137,0.016640781007321342,50000.0,2936.0
