Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_raw_acc_allfeatures.csv.arff,1,5000.0,0.046875,3.560368592540423E-11,5000.0,0.6127777134922472,0.058999220882907946,0.9536,0.0,0.04865771812080537,0.0,0.0,0.0,5000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_raw_acc_allfeatures.csv.arff,1,10000.0,0.125,9.494316246774462E-11,10000.0,0.6635105759349801,0.05716569146856341,0.9141,0.0,0.09397221310578711,0.0,0.0,0.0,10000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_raw_acc_allfeatures.csv.arff,1,15000.0,0.1875,1.4241474370161693E-10,15000.0,0.7467456376298216,0.12224592432999142,0.8695333333333334,0.046385895126424215,0.15287064791330413,0.17205112996101055,0.029663147310206132,0.016088486676722705,15000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_raw_acc_allfeatures.csv.arff,1,20000.0,0.25,1.8988632493548924E-10,20000.0,0.7977037886063041,0.13440901109860084,0.89295,0.0443296251299257,0.12189375666124418,0.1646520004517888,0.027151403589507593,0.014726184997699452,20000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_raw_acc_allfeatures.csv.arff,1,25000.0,0.3125,2.373579061693615E-10,25000.0,0.8231142510562945,0.14276141620886287,0.90956,0.043256226696668,0.10098207601180252,0.1603118491442999,0.02573048408198866,0.013955516790231777,25000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_raw_acc_allfeatures.csv.arff,1,30000.0,0.375,2.848294874032338E-10,30000.0,0.8219214237067626,0.1417266768231182,0.9021,0.04603930590898249,0.10963160230803373,0.16916247065392423,0.028677462887989204,0.009109311740890809,30000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_raw_acc_allfeatures.csv.arff,1,35000.0,0.421875,3.20433173328638E-10,35000.0,0.8157527696793003,0.15035722825593542,0.8984571428571428,0.10221011920850985,0.11731843575418995,0.25506476070090134,0.0653061224489796,0.032925170068026914,35000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_raw_acc_allfeatures.csv.arff,1,40000.0,0.5,3.7977264987097837E-10,40000.0,0.8267265387325493,0.16048597468903314,0.9045,0.13311351709428093,0.11114197616600462,0.29255632448078134,0.08597850537365659,0.045238690327418146,40000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_raw_acc_allfeatures.csv.arff,1,45000.0,0.5625,4.2724423110485066E-10,45000.0,0.8277596572859628,0.1612999016920707,0.9112222222222223,0.12942114590927753,0.10229276895943562,0.2864377319526528,0.08237547892720307,0.04334291187739505,45000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_raw_acc_allfeatures.csv.arff,1,50000.0,0.609375,4.6284791703025487E-10,50000.0,0.8234805296143913,0.15773439679757695,0.91344,0.12108219443551199,0.0990701866221177,0.2757696274116122,0.07632571555358332,0.03971599733747535,50000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_raw_acc_allfeatures.csv.arff,1,55000.0,0.6875,5.221873935725952E-10,55000.0,0.8243056483562499,0.15996069524823478,0.9126181818181818,0.12693323860318353,0.09964811260396673,0.28510950006649444,0.08166131621187801,0.035714285714285234,55000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_raw_acc_allfeatures.csv.arff,1,60000.0,0.734375,5.577910794979994E-10,60000.0,0.8232369872246059,0.159644608941808,0.9171,0.12794505845818677,0.0941717120140054,0.2849254566315083,0.08152594887683966,0.03679318357862106,60000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_raw_acc_allfeatures.csv.arff,1,65000.0,0.8125,6.171305560403398E-10,65000.0,0.8179609629751814,0.15693484879130176,0.9187846153846154,0.12338153675944184,0.09195981587877566,0.2787491588165499,0.07800511508951406,0.035622944830106,65000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_raw_acc_allfeatures.csv.arff,1,70000.0,0.875,6.646021372742121E-10,70000.0,0.819610778450951,0.16084244850005663,0.9185857142857143,0.1381101551610867,0.09316925383390073,0.2954876622850285,0.08766342608112639,0.044753603754610106,70000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_raw_acc_allfeatures.csv.arff,1,75000.0,0.9375,7.120737185080844E-10,75000.0,0.8184186457031809,0.1604694842047421,0.9210533333333333,0.13560236762905747,0.08989449821257302,0.292142766260395,0.08567733591981895,0.042838667959908795,75000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_raw_acc_allfeatures.csv.arff,1,80000.0,1.0,7.595452997419566E-10,80000.0,0.8208647809069245,0.16332826009031193,0.9217125,0.13889947448119883,0.08933945178992089,0.29548014994516025,0.08763907940862674,0.045419905502211096,80000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_raw_acc_allfeatures.csv.arff,1,85000.0,1.078125,8.18884776284297E-10,85000.0,0.8187582819681405,0.16131641580737213,0.9226588235294118,0.13385791255184418,0.08749888051585829,0.29063023447975705,0.08480772042696301,0.03874835502266447,85000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_raw_acc_allfeatures.csv.arff,1,90000.0,1.125,8.544884622097012E-10,90000.0,0.8170581553440767,0.1613932044941752,0.9231111111111111,0.13482793890635061,0.0871534698314912,0.29115728174685723,0.0851004851004851,0.04088704088704143,90000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_raw_acc_allfeatures.csv.arff,1,95000.0,1.1875,9.019600434435735E-10,95000.0,0.8187755364002138,0.16266687471826272,0.9240105263157895,0.13794467940972177,0.08595009201998148,0.29521773627056,0.08751163718579598,0.03989892272908672,95000.0,2936.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_raw_acc_allfeatures.csv.arff,1,100000.0,1.265625,9.612995199859138E-10,100000.0,0.8180539061285672,0.16932628120185422,0.9228,0.16325032903771639,0.08842352736296748,0.3245516618022747,0.10585918266863614,0.04972919743968407,100000.0,2936.0
