Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_watch_acc_allfeatures.csv.arff,1,5000.0,0.109375,1.2382062979870372E-10,5000.0,0.9163939553922703,0.8178252392035258,0.9838,0.8173114744633018,0.04865771812080537,0.9057978795833638,0.8275862068965517,0.6508620689655173,5000.0,4376.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_watch_acc_allfeatures.csv.arff,1,10000.0,0.21875,2.4764125959740744E-10,10000.0,0.9162195580581497,0.8143928805701991,0.9712,0.8166100131696932,0.09397221310578711,0.9051247587929798,0.8323632130384168,0.6647264260768329,10000.0,4376.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_watch_acc_allfeatures.csv.arff,1,15000.0,0.328125,3.7146188939611113E-10,15000.0,0.931468882404064,0.8465746148289741,0.9657333333333333,0.851036824276662,0.15287064791330413,0.9238988364646434,0.8707893413775767,0.7415786827551535,15000.0,4376.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_watch_acc_allfeatures.csv.arff,1,20000.0,0.421875,4.775938577950001E-10,20000.0,0.9261435217050431,0.8356787543462415,0.96885,0.8392087854048447,0.12189375666124418,0.9175419171134099,0.8568798895536125,0.7132995858260469,20000.0,4376.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_watch_acc_allfeatures.csv.arff,1,25000.0,0.53125,6.014144875937038E-10,25000.0,0.9265681638697689,0.8377349952636927,0.97352,0.8410082845347254,0.10098207601180252,0.91803200144462,0.8552115133013519,0.711295246402094,25000.0,4376.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_watch_acc_allfeatures.csv.arff,1,30000.0,0.625,7.075464559925928E-10,30000.0,0.930995739374042,0.845737456694284,0.9731333333333333,0.8490837021482989,0.10963160230803373,0.9224181968042966,0.863697705802969,0.7280701754385961,30000.0,4376.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_watch_acc_allfeatures.csv.arff,1,35000.0,0.734375,8.313670857912965E-10,35000.0,0.9341042200758994,0.8531104176343558,0.9730285714285715,0.8564623129942662,0.11731843575418995,0.9263864408660801,0.8712925170068028,0.7431292517006806,35000.0,4376.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_watch_acc_allfeatures.csv.arff,1,40000.0,0.84375,9.551877155900002E-10,40000.0,0.9338023038894294,0.8518312732552296,0.9739,0.8550000010069445,0.11114197616600462,0.9255819130440385,0.8692826793301675,0.7390652336915771,40000.0,4376.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_watch_acc_allfeatures.csv.arff,1,45000.0,0.953125,1.079008345388704E-9,45000.0,0.9338904956366287,0.8514179099364629,0.9754888888888888,0.854379657870617,0.10229276895943562,0.9251422759252754,0.8675766283524904,0.7358716475095781,45000.0,4376.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_watch_acc_allfeatures.csv.arff,1,50000.0,1.0625,1.2028289751874076E-9,50000.0,0.9334820507548417,0.8515275983517243,0.97608,0.8541726266696188,0.0990701866221177,0.9251576741586542,0.8673175061016197,0.7346350122032388,50000.0,4376.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_watch_acc_allfeatures.csv.arff,1,55000.0,1.171875,1.3266496049861114E-9,55000.0,0.9356955393054319,0.8558229746248966,0.976690909090909,0.8585725441053083,0.09964811260396673,0.9274808983577796,0.8713884430176565,0.7427768860353126,55000.0,4376.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_watch_acc_allfeatures.csv.arff,1,60000.0,1.265625,1.4327815733850003E-9,60000.0,0.9336401489599097,0.8522468052636984,0.9771666666666666,0.8548590970701792,0.0941717120140054,0.9254815624196022,0.8673508907823393,0.7347017815646779,60000.0,4376.0
