Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.csv.arff,1,5000.0,0.34375,6.082700565457345E-10,5000.0,0.9084359089331173,0.680853043666316,0.9026,0.37921040662610633,0.04865771812080537,0.8329504250272718,0.7629310344827587,-1.0991379310344838,5000.0,6840.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.csv.arff,1,10000.0,0.65625,1.161242835223675E-9,10000.0,0.8813897879031125,0.6233286583095042,0.8802,0.44411783402694865,0.09397221310578711,0.7995621671334422,0.7136204889406287,-0.39464493597206113,10000.0,6840.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.csv.arff,1,15000.0,0.984375,1.7418642528355124E-9,15000.0,0.8524737296387529,0.5462637061632507,0.8643333333333333,0.4691324659279564,0.15287064791330413,0.7473725784049551,0.6194067370537959,-0.02312719959778779,15000.0,6840.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.csv.arff,1,20000.0,1.265625,2.239539753645659E-9,20000.0,0.8691203674029097,0.5723795746798014,0.88225,0.47584231805629934,0.12189375666124418,0.7639671722592378,0.6401288541187299,-0.0837551771744132,20000.0,6840.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.csv.arff,1,25000.0,1.546875,2.737215254455805E-9,25000.0,0.877651237341563,0.5861155801039709,0.8924,0.46806991799734193,0.10098207601180252,0.7728443405860417,0.6515481901439163,-0.17313563017880507,25000.0,6840.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.csv.arff,1,30000.0,1.8125,3.2072421163320546E-9,30000.0,0.8826374650363717,0.5861715560080569,0.8918333333333334,0.48357044213754546,0.10963160230803373,0.7728679863291508,0.650472334682861,-0.09480431848852869,30000.0,6840.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.csv.arff,1,35000.0,2.15625,3.815512172877789E-9,35000.0,0.8638275051441167,0.5592484082956058,0.8852571428571429,0.4689649974413527,0.11731843575418995,0.7555080160237319,0.6231292517006802,-0.09278911564625872,35000.0,6840.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.csv.arff,1,40000.0,2.4375,4.313187673687935E-9,40000.0,0.8628816954765726,0.5652112305862393,0.8821,0.4545649888909541,0.11114197616600462,0.7607216523585318,0.6363409147713072,-0.17870532366908243,40000.0,6840.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.csv.arff,1,45000.0,2.734375,4.838511813431979E-9,45000.0,0.8633951747028455,0.5628281766856489,0.8832888888888889,0.43920983341499586,0.10229276895943562,0.7591156107730346,0.6340996168582376,-0.2576628352490421,45000.0,6840.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.csv.arff,1,50000.0,3.0,5.3085386753082285E-9,50000.0,0.8615873852903714,0.5578777702971064,0.88156,0.42641583691095697,0.0990701866221177,0.7558977988824572,0.6303527845573552,-0.3139560683381406,50000.0,6840.0
