Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_raw_acc_allfeatures.csv.arff,1,5000.0,0.078125,4.511093720793724E-11,5000.0,0.9006979901932423,0.6253689525633327,0.9282,0.42875000954735437,0.04865771812080537,0.7928360111894143,0.6681034482758621,-0.5474137931034478,5000.0,2232.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_raw_acc_allfeatures.csv.arff,1,10000.0,0.171875,9.924406185746193E-11,10000.0,0.877015873040131,0.5555383530558464,0.8999,0.45487497522158965,0.09397221310578711,0.7486661003070908,0.6041909196740396,-0.1653084982537834,10000.0,2232.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_raw_acc_allfeatures.csv.arff,1,15000.0,0.25,1.4435499906539917E-10,15000.0,0.8456724883639666,0.4547821300844594,0.8753333333333333,0.43918262457013485,0.15287064791330413,0.6767169575966718,0.49019607843137253,0.059829059829059915,15000.0,2232.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_raw_acc_allfeatures.csv.arff,1,20000.0,0.34375,1.9848812371492387E-10,20000.0,0.8655017050281104,0.4845617255732986,0.89685,0.46365608307335565,0.12189375666124418,0.6984523239360962,0.5172572480441786,0.050621260929590975,20000.0,2232.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_raw_acc_allfeatures.csv.arff,1,25000.0,0.453125,2.61643435806036E-10,25000.0,0.8822190309586941,0.5028804310306189,0.90756,0.4641991157203416,0.10098207601180252,0.7114465100881462,0.5355429568251199,-0.00784997819450439,25000.0,2232.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_raw_acc_allfeatures.csv.arff,1,30000.0,0.546875,3.1577656045556067E-10,30000.0,0.8863682768454476,0.5165313172241838,0.9053666666666667,0.48219260552801635,0.10963160230803373,0.7210521237477231,0.5506072874493927,0.042172739541160444,30000.0,2232.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_raw_acc_allfeatures.csv.arff,1,35000.0,0.640625,3.6990968510508535E-10,35000.0,0.8631125646747126,0.49377453934888804,0.9017142857142857,0.4740326558445824,0.11731843575418995,0.7049777695068913,0.5254421768707483,0.06394557823129213,35000.0,2232.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_raw_acc_allfeatures.csv.arff,1,40000.0,0.734375,4.2404280975461E-10,40000.0,0.8644654893667066,0.5037686712679306,0.899625,0.46283190816997105,0.11114197616600462,0.7128404838428704,0.540864783804049,-0.00349912521869494,40000.0,2232.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_raw_acc_allfeatures.csv.arff,1,45000.0,0.8125,4.691537469625472E-10,45000.0,0.8664272423656958,0.49917494081296276,0.9028,0.45160415438814994,0.10229276895943562,0.7092901522922624,0.5349616858237548,-0.04741379310344784,45000.0,2232.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_raw_acc_allfeatures.csv.arff,1,50000.0,0.890625,5.142646841704845E-10,50000.0,0.8600658449120228,0.4914249228857517,0.90242,0.43976752972796224,0.0990701866221177,0.7039407457597934,0.5274018193920568,-0.08253827379631687,50000.0,2232.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_raw_acc_allfeatures.csv.arff,1,55000.0,0.953125,5.503534339368342E-10,55000.0,0.8552493258337107,0.48971832745439886,0.8983818181818182,0.4295490189857636,0.09964811260396673,0.7034185638577087,0.5290930979133226,-0.12138844301765661,55000.0,2232.0
bayes.NaiveBayes,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_raw_acc_allfeatures.csv.arff,1,60000.0,1.046875,6.044865585863589E-10,60000.0,0.856712184431188,0.4827390377900345,0.9006666666666666,0.4199653832226426,0.0941717120140054,0.6983029120464702,0.5207203718048025,-0.15414407436096164,60000.0,2232.0
