Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.arff,1,5000.0,0.265625,5.101578103171455E-10,5000.0,95.36,95.36,-314.28571428571473,0.0,5000.0,7424.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.arff,1,10000.0,0.46875,9.002784887949626E-10,10000.0,91.41,91.41,-294.0366972477056,0.0,10000.0,7424.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.arff,1,15000.0,0.671875,1.2903991672727796E-9,15000.0,86.74,86.74,-446.4285714285718,0.0,15000.0,7424.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.arff,1,20000.0,0.90625,1.740538411670261E-9,20000.0,89.13499999999999,89.13499999999999,-374.45414847161516,0.0,20000.0,7424.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.arff,1,25000.0,1.125,2.16066837310791E-9,25000.0,90.828,90.828,-372.78350515463995,0.0,25000.0,7424.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.arff,1,30000.0,1.328125,2.5507890515857273E-9,30000.0,90.12,90.12,-405.80204778157105,0.0,30000.0,7424.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.arff,1,35000.0,1.5,2.88089116414388E-9,35000.0,89.5,89.5,-443.63905325443744,0.0,35000.0,7424.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.arff,1,40000.0,1.71875,3.3010211255815293E-9,40000.0,89.9975,89.9975,-442.14092140921525,0.0,40000.0,7424.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.arff,1,45000.0,1.9375,3.7211510870191784E-9,45000.0,90.72,90.72,-431.2977099236652,0.0,45000.0,7424.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.arff,1,50000.0,2.15625,4.1412810484568275E-9,50000.0,90.986,90.986,-424.0697674418606,0.0,50000.0,7424.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.arff,1,55000.0,2.375,4.561411009894477E-9,55000.0,90.93818181818182,90.93818181818182,-438.2289416846648,0.0,55000.0,7424.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.arff,1,60000.0,2.59375,4.9815409713321265E-9,60000.0,91.39333333333333,91.39333333333333,-418.4738955823307,0.0,60000.0,7424.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.arff,1,65000.0,2.8125,5.401670932769776E-9,65000.0,91.57846153846154,91.57846153846154,-415.44256120527325,0.0,65000.0,7424.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.arff,1,70000.0,3.046875,5.851810177167257E-9,70000.0,91.47714285714285,91.47714285714285,-426.10229276895967,0.0,70000.0,7424.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.arff,1,75000.0,3.265625,6.271940138604907E-9,75000.0,91.752,91.752,-414.64226289517575,0.0,75000.0,7424.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.arff,1,80000.0,3.484375,6.6920701000425564E-9,80000.0,91.79875,91.79875,-404.69230769230836,0.0,80000.0,7424.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.arff,1,85000.0,3.703125,7.112200061480206E-9,85000.0,91.95411764705882,91.95411764705882,-399.9269005847959,0.0,85000.0,7424.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.arff,1,90000.0,3.921875,7.532330022917855E-9,90000.0,91.98333333333333,91.98333333333333,-410.25459688826027,0.0,90000.0,7424.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.arff,1,95000.0,4.140625,7.952459984355503E-9,95000.0,92.08526315789473,92.08526315789473,-401.2666666666651,0.0,95000.0,7424.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.arff,1,100000.0,4.359375,8.372589945793152E-9,100000.0,91.876,91.876,-420.1024327784901,0.0,100000.0,7424.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.arff,1,105000.0,4.578125,8.7927199072308E-9,105000.0,91.94095238095238,91.94095238095238,-430.20050125313327,0.0,105000.0,7424.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.arff,1,110000.0,4.8125,9.242859151628281E-9,110000.0,92.27909090909091,92.27909090909091,-426.861042183622,0.0,110000.0,7424.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.arff,1,115000.0,5.046875,9.692998396025762E-9,115000.0,92.57913043478261,92.57913043478261,-417.2121212121218,0.0,115000.0,7424.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.arff,1,120000.0,5.28125,1.0143137640423242E-8,120000.0,92.59666666666668,92.59666666666668,-408.8201603665535,0.0,120000.0,7424.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.arff,1,125000.0,5.5,1.0563267601860891E-8,125000.0,92.5592,92.5592,-379.43298969072254,0.0,125000.0,7424.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.arff,1,130000.0,5.734375,1.1013406846258371E-8,130000.0,92.68846153846154,92.68846153846154,-374.77522477522547,0.0,130000.0,7424.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.arff,1,135000.0,5.96875,1.1463546090655852E-8,135000.0,92.85777777777777,92.85777777777777,-371.7221135029343,0.0,135000.0,7424.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.arff,1,140000.0,6.171875,1.1853666769133669E-8,140000.0,92.88142857142857,92.88142857142857,-374.57142857142827,0.0,140000.0,7424.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.arff,1,145000.0,6.40625,1.230380601353115E-8,145000.0,92.97999999999999,92.97999999999999,-375.2100840336135,0.0,145000.0,7424.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.arff,1,150000.0,6.625,1.2723935974968798E-8,150000.0,93.06133333333332,93.06133333333332,-370.09936766034366,0.0,150000.0,7424.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.arff,1,155000.0,6.859375,1.3174075219366279E-8,155000.0,93.05483870967743,93.05483870967743,-377.5953859804795,0.0,155000.0,7424.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.arff,1,160000.0,7.09375,1.3624214463763759E-8,160000.0,93.26,93.26,-373.81370826010414,0.0,160000.0,7424.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.arff,1,165000.0,7.3125,1.4044344425201408E-8,165000.0,93.38484848484848,93.38484848484848,-368.0531732418528,0.0,165000.0,7424.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.arff,1,170000.0,7.546875,1.4494483669598888E-8,170000.0,93.34647058823529,93.34647058823529,-366.4329896907209,0.0,170000.0,7424.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.arff,1,175000.0,7.78125,1.494462291399637E-8,175000.0,93.36171428571429,93.36171428571429,-367.2968624296068,0.0,175000.0,7424.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.arff,1,180000.0,8.015625,1.539476215839385E-8,180000.0,93.37333333333333,93.37333333333333,-355.26717557251965,0.0,180000.0,7424.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.arff,1,185000.0,8.25,1.5844901402791333E-8,185000.0,93.27081081081081,93.27081081081081,-359.37269372693635,0.0,185000.0,7424.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.arff,1,190000.0,8.46875,1.6265031364228982E-8,190000.0,93.34,93.34,-350.96222380613085,0.0,190000.0,7424.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.arff,1,195000.0,8.6875,1.668516132566663E-8,195000.0,93.37589743589744,93.37589743589744,-344.18844566712545,0.0,195000.0,7424.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.arff,1,200000.0,8.921875,1.7135300570064113E-8,200000.0,93.49849999999999,93.49849999999999,-337.5168236877531,0.0,200000.0,7424.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.arff,1,205000.0,9.140625,1.755543053150176E-8,205000.0,93.45463414634146,93.45463414634146,-339.5021290533916,0.0,205000.0,7424.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_3f.arff,1,210000.0,9.359375,1.797556049293941E-8,210000.0,93.46619047619048,93.46619047619048,-338.0906768837784,0.0,210000.0,7424.0
