Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes)
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,5000.0,0.078125,5.836934886044926E-11,5000.0,94.04,94.04,-520.8333333333297,0.0,?,?,?,5000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,10000.0,0.15625,1.1673869772089852E-10,10000.0,95.54,95.54,-502.7027027027054,0.0,?,?,?,10000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,15000.0,0.21875,1.6343417680925794E-10,15000.0,94.97333333333333,94.97333333333333,-338.37209302325755,0.0,?,?,?,15000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,20000.0,0.28125,2.1012965589761736E-10,20000.0,91.44,91.44,-400.58479532163733,0.0,?,?,?,20000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,25000.0,0.34375,2.568251349859768E-10,25000.0,89.904,89.904,-437.0212765957438,0.0,?,?,?,25000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,30000.0,0.390625,2.9184674430224633E-10,30000.0,91.04666666666667,91.04666666666667,-381.3620071684602,0.0,?,?,?,30000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,35000.0,0.453125,3.3854222339060575E-10,35000.0,92.10000000000001,92.10000000000001,-383.3916083916093,0.0,?,?,?,35000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,40000.0,0.5,3.735638327068753E-10,40000.0,91.50500000000001,91.50500000000001,-417.9878048780496,0.0,?,?,?,40000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,45000.0,0.546875,4.0858544202314485E-10,45000.0,90.99777777777777,90.99777777777777,-456.4560439560454,0.0,?,?,?,45000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,50000.0,0.59375,4.436070513394144E-10,50000.0,90.96,90.96,-465.7071339173972,0.0,?,?,?,50000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,55000.0,0.65625,4.903025304277738E-10,55000.0,90.68909090909091,90.68909090909091,-485.9267734553785,0.0,?,?,?,55000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,60000.0,0.71875,5.369980095161332E-10,60000.0,90.86166666666666,90.86166666666666,-482.05944798301334,0.0,?,?,?,60000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,65000.0,0.78125,5.836934886044926E-10,65000.0,91.24461538461539,91.24461538461539,-496.5408805031468,0.0,?,?,?,65000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,70000.0,0.84375,6.303889676928519E-10,70000.0,91.49571428571429,91.49571428571429,-477.9611650485454,0.0,?,?,?,70000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,75000.0,0.921875,6.887583165533012E-10,75000.0,91.548,91.548,-468.0107526881722,0.0,?,?,?,75000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,80000.0,0.96875,7.237799258695708E-10,80000.0,91.5425,91.5425,-476.320272572402,0.0,?,?,?,80000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,85000.0,1.03125,7.704754049579301E-10,85000.0,91.91411764705883,91.91411764705883,-480.48986486486587,0.0,?,?,?,85000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,90000.0,1.078125,8.054970142741997E-10,90000.0,92.16222222222223,92.16222222222223,-467.9549114331708,0.0,?,?,?,90000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,95000.0,1.125,8.405186235904692E-10,95000.0,91.91157894736843,91.91157894736843,-470.87667161961247,0.0,?,?,?,95000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,100000.0,1.171875,8.755402329067388E-10,100000.0,91.678,91.678,-491.89189189189324,0.0,?,?,?,100000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,105000.0,1.234375,9.222357119950981E-10,105000.0,91.9847619047619,91.9847619047619,-472.51700680272074,0.0,?,?,?,105000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,110000.0,1.265625,9.455834515392779E-10,110000.0,92.01272727272726,92.01272727272726,-469.04145077720284,0.0,?,?,?,110000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,115000.0,1.328125,9.922789306276374E-10,115000.0,92.05391304347826,92.05391304347826,-459.2411260709931,0.0,?,?,?,115000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,120000.0,1.375,1.027300539943907E-9,120000.0,92.19333333333334,92.19333333333334,-469.13730255163813,0.0,?,?,?,120000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,125000.0,1.421875,1.0623221492601765E-9,125000.0,92.3432,92.3432,-459.70760233917997,0.0,?,?,?,125000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,130000.0,1.46875,1.097343758576446E-9,130000.0,92.29153846153847,92.29153846153847,-469.37500000000193,0.0,?,?,?,130000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,135000.0,1.515625,1.1323653678927156E-9,135000.0,92.36,92.36,-467.95154185022153,0.0,?,?,?,135000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,140000.0,1.5625,1.1673869772089851E-9,140000.0,92.50357142857143,92.50357142857143,-464.24731182795915,0.0,?,?,?,140000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,145000.0,1.59375,1.1907347167531647E-9,145000.0,92.60206896551723,92.60206896551723,-463.39285714285614,0.0,?,?,?,145000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,150000.0,1.65625,1.2374301958415242E-9,150000.0,92.64666666666666,92.64666666666666,-462.1814475025493,0.0,?,?,?,150000.0,2888.0
