Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_raw_acc_allfeatures.arff,1,5000.0,0.140625,8.061761036515236E-11,5000.0,95.36,95.36,-314.28571428571473,0.0,5000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_raw_acc_allfeatures.arff,1,10000.0,0.25,1.433201962047153E-10,10000.0,91.41,91.41,-294.0366972477056,0.0,10000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_raw_acc_allfeatures.arff,1,15000.0,0.34375,1.9706526978148354E-10,15000.0,86.74,86.74,-446.4285714285718,0.0,15000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_raw_acc_allfeatures.arff,1,20000.0,0.40625,2.328953188326624E-10,20000.0,89.13499999999999,89.13499999999999,-374.45414847161516,0.0,20000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_raw_acc_allfeatures.arff,1,25000.0,0.46875,2.687253678838412E-10,25000.0,90.828,90.828,-372.78350515463995,0.0,25000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_raw_acc_allfeatures.arff,1,30000.0,0.53125,3.0455541693502007E-10,30000.0,90.12,90.12,-405.80204778157105,0.0,30000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_raw_acc_allfeatures.arff,1,35000.0,0.609375,3.493429782489936E-10,35000.0,89.5,89.5,-443.63905325443744,0.0,35000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_raw_acc_allfeatures.arff,1,40000.0,0.671875,3.8517302730017247E-10,40000.0,89.9975,89.9975,-442.14092140921525,0.0,40000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_raw_acc_allfeatures.arff,1,45000.0,0.75,4.29960588614146E-10,45000.0,90.72,90.72,-431.2977099236652,0.0,45000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_raw_acc_allfeatures.arff,1,50000.0,0.8125,4.657906376653249E-10,50000.0,90.986,90.986,-424.0697674418606,0.0,50000.0,2216.0
